/,ㅏ,ㅐ,ㅑ,ㅒ,ㅓ,ㅔ,ㅕ,ㅖ,ㅗ,ㅛ,ㅜ,ㅠ,ㅡ,ㅣ,ㅘ,ㅚ,ㅙ,ㅝ,ㅟ,ㅞ,ㅢ
ㄸ/ㅌ,땉,땥,떁,떝,떹,뗕,뗱,똍,똩,뚙,뚵,뜥,띁,띹,뙅,뙽,뙡,뛑,뜉,뛭,띝
ㄸ/ㅍ,땊,땦,떂,떞,떺,뗖,뗲,똎,똪,뚚,뚶,뜦,띂,띺,뙆,뙾,뙢,뛒,뜊,뛮,띞
ㄸ/ㅎ,땋,땧,떃,떟,떻,뗗,뗳,똏,똫,뚛,뚷,뜧,띃,띻,뙇,뙿,뙣,뛓,뜋,뛯,띟
ㄸ/ㄲ,딲,땎,땪,떆,떢,떾,뗚,뗶,똒,뚂,뚞,뜎,뜪,띢,똮,뙦,뙊,뚺,뛲,뛖,띆
ㄸ/ㄳ,딳,땏,땫,떇,떣,떿,뗛,뗷,똓,뚃,뚟,뜏,뜫,띣,똯,뙧,뙋,뚻,뛳,뛗,띇
ㄸ/ㄵ,딵,땑,땭,떉,떥,뗁,뗝,뗹,똕,뚅,뚡,뜑,뜭,띥,똱,뙩,뙍,뚽,뛵,뛙,띉
ㄸ/ㄶ,딶,땒,땮,떊,떦,뗂,뗞,뗺,똖,뚆,뚢,뜒,뜮,띦,똲,뙪,뙎,뚾,뛶,뛚,띊
ㄸ/ㄺ,딹,땕,땱,떍,떩,뗅,뗡,뗽,똙,뚉,뚥,뜕,뜱,띩,똵,뙭,뙑,뛁,뛹,뛝,띍
ㄸ/ㄻ,딺,땖,땲,떎,떪,뗆,뗢,뗾,똚,뚊,뚦,뜖,뜲,띪,똶,뙮,뙒,뛂,뛺,뛞,띎
ㄸ/ㄼ,딻,땗,땳,떏,떫,뗇,뗣,뗿,똛,뚋,뚧,뜗,뜳,띫,똷,뙯,뙓,뛃,뛻,뛟,띏
ㄸ/ㄽ,딼,땘,땴,떐,떬,뗈,뗤,똀,똜,뚌,뚨,뜘,뜴,띬,똸,뙰,뙔,뛄,뛼,뛠,띐
ㄸ/ㄾ,딽,땙,땵,떑,떭,뗉,뗥,똁,똝,뚍,뚩,뜙,뜵,띭,똹,뙱,뙕,뛅,뛽,뛡,띑
ㄸ/ㄿ,딾,땚,땶,떒,떮,뗊,뗦,똂,똞,뚍,뚪,뜚,뜶,띮,똺,뙲,뙖,뛆,뛾,뛢,띒
ㄸ/ㅀ,딿,땛,땷,떓,떯,똃,뗧,똃,똟,뚏,뚫,뜛,뜷,띯,똻,뙳,뙗,뛇,뛿,뛣,띓
ㄸ/ㅄ,땂,땞,땺,떖,떲,뗎,뗪,똆,똢,뚒,뚮,뜞,뜺,띲,똾,뙶,뙚,뛊,뜂,뛦,띖
ㄸ/ㅆ,땄,땠,땼,떘,떴,뗐,뗬,똈,똤,뚔,뚰,뜠,뜼,띴,뙀,뙸,뙜,뛋,뜄,뛨,띘
ㄹ/:,라,래,랴,럐,러,레,려,례,로,료,루,류,르,리,롸,뢰,뢔,뤄,뤼,뤠,릐
ㄹ/ㄱ,락,랙,략,럑,럭,렉,력,롁,록,룍,룩,륙,륵,릭,롹,뢱,뢕,뤅,뤽,뤡,릑
ㄹ/ㄴ,란,랜,랸,럔,런,렌,련,롄,론,룐,룬,륜,른,린,롼,뢴,뢘,뤈,륀,뤤,릔
ㄹ/ㄷ,랃,랟,랻,럗,럳,렏,렫,롇,롣,룓,룯,륟,륻,릳,롿,뢷,뢛,뤋,륃,뤧,릗
ㄹ/ㄹ,랄,랠,랼,럘,럴,렐,렬,롈,롤,룔,룰,률,를,릴,뢀,뢸,뢜,뤌,륄,뤨,릘
ㄹ/ㅁ,람,램,럄,럠,럼,렘,렴,롐,롬,룜,룸,륨,름,림,뢈,룀,뢤,뤔,륌,뤰,릠
ㄹ/ㅂ,랍,랩,럅,럡,럽,렙,렵,롑,롭,룝,룹,륩,릅,립,뢉,룁,뢥,뤕,륍,뤱,릡
ㄹ/ㅅ,랏,랫,럇,럣,럿,렛,렷,롓,롯,룟,룻,륫,릇,릿,뢋,룃,뢧,뤗,륏,뤳,릣
